action,decision,Vdig,Vmove,w_t,alien_level,position,step,row,col,total_reward,round_reward,round,forager_role_mode,alpha,r_gained
move,move,0.0,0.0,0.6,,"(6, 7)",0,6,7,0.0,0.0,0,unknown,0.0,
move,move,0.0,0.0,0.6,,"(5, 7)",1,5,7,0.0,0.0,0,unknown,0.0,
move,move,0.0,0.0,0.6,,"(6, 7)",2,6,7,0.0,0.0,0,unknown,0.0,
move,move,0.0,0.0,0.6,,"(7, 7)",3,7,7,0.0,0.0,0,unknown,0.0,
move,move,0.0,0.0,0.6,,"(6, 7)",4,6,7,0.0,0.0,0,unknown,0.0,
move,move,0.0,0.0,0.6,,"(5, 7)",5,5,7,0.0,0.0,2,unknown,0.0,
move,move,0.0,0.0,0.6,,"(4, 7)",6,4,7,0.0,0.0,2,unknown,0.0,
move,move,0.0,0.0,0.6,,"(5, 7)",7,5,7,0.0,0.0,2,unknown,0.0,
move,move,0.0,0.0,0.6,,"(5, 6)",8,5,6,0.0,0.0,2,unknown,0.0,
move,move,0.0,0.0,0.6,,"(5, 7)",9,5,7,0.0,0.0,2,unknown,0.0,
move,move,0.0,0.0,0.6,,"(4, 7)",10,4,7,0.0,0.0,4,unknown,0.0,
move,move,0.0,0.0,0.6,,"(3, 7)",11,3,7,0.0,0.0,4,unknown,0.0,
move,move,0.0,0.0,0.6,,"(4, 7)",12,4,7,0.0,0.0,4,unknown,0.0,
move,move,0.0,0.0,0.6,,"(5, 7)",13,5,7,0.0,0.0,4,unknown,0.0,
move,move,0.0,0.0,0.6,,"(5, 8)",14,5,8,0.0,0.0,4,unknown,0.8,
dig,dig,0.8,0.0,0.6,,"(5, 8)",15,5,8,0.8,0.8,6,unknown,0.7466666666666667,0.8
dig,dig,0.8,0.05,0.6,,"(5, 8)",16,5,8,1.6,1.6,6,unknown,0.7000000000000001,0.8
dig,dig,0.8,0.09411764705882353,0.6,,"(5, 8)",17,5,8,2.4000000000000004,2.4000000000000004,6,unknown,0.6588235294117647,0.8
dig,dig,0.8,0.13333333333333336,0.6,,"(5, 8)",18,5,8,3.2,3.2,6,unknown,0.6222222222222222,0.8
dig,dig,0.8,0.16842105263157894,0.6,,"(5, 8)",19,5,8,4.0,4.0,6,unknown,0.5894736842105264,0.8
dig,dig,0.8,0.2,0.6,,"(5, 8)",20,5,8,4.8,4.8,8,unknown,0.56,0.8
dig,dig,0.8,0.22857142857142856,0.6,,"(5, 8)",21,5,8,5.6,5.6,8,unknown,0.5333333333333334,0.8
dig,dig,0.8,0.2545454545454545,0.6,,"(5, 8)",22,5,8,6.3999999999999995,6.3999999999999995,8,unknown,-0.2909090909090909,0.8
move,move,0.0,0.2782608695652174,0.6,,"(5, 9)",23,5,9,6.3999999999999995,6.3999999999999995,8,unknown,-0.2782608695652174,
move,move,0.0,0.26666666666666666,0.6,,"(5, 10)",24,5,10,6.3999999999999995,6.3999999999999995,8,unknown,0.5333333333333334,
dig,dig,0.8,0.256,0.6,,"(5, 10)",25,5,10,7.199999999999999,7.199999999999999,10,unknown,0.512,0.8
dig,dig,0.8,0.2769230769230769,0.6,,"(5, 10)",26,5,10,7.999999999999999,7.999999999999999,10,unknown,0.4923076923076924,0.8
dig,dig,0.8,0.2962962962962963,0.6,,"(5, 10)",27,5,10,8.799999999999999,8.799999999999999,10,unknown,0.47407407407407415,0.8
dig,dig,0.8,0.3142857142857142,0.6,,"(5, 10)",28,5,10,9.6,9.6,10,unknown,0.4571428571428572,0.8
dig,dig,0.8,0.3310344827586207,0.6,,"(5, 10)",29,5,10,10.4,10.4,10,unknown,0.44137931034482764,0.8
dig,dig,0.8,0.3466666666666667,0.6,,"(5, 10)",30,5,10,11.200000000000001,11.200000000000001,12,unknown,0.4266666666666667,0.8
dig,dig,0.8,0.3612903225806452,0.6,,"(5, 10)",31,5,10,12.000000000000002,12.000000000000002,12,unknown,0.4129032258064516,0.8
dig,dig,0.8,0.37500000000000006,0.6,,"(5, 10)",32,5,10,12.800000000000002,12.800000000000002,12,unknown,-0.4000000000000001,0.8
move,move,0.0,0.38787878787878793,0.6,,"(6, 10)",33,6,10,12.800000000000002,12.800000000000002,12,unknown,-0.38787878787878793,
move,move,0.0,0.37647058823529417,0.6,,"(7, 10)",34,7,10,12.800000000000002,12.800000000000002,12,unknown,-0.37647058823529417,
move,move,0.0,0.36571428571428577,0.6,,"(8, 10)",35,8,10,12.800000000000002,12.800000000000002,14,unknown,-0.36571428571428577,
move,move,0.0,0.3555555555555556,0.6,,"(8, 9)",36,8,9,12.800000000000002,12.800000000000002,14,unknown,-0.3555555555555556,
