action,decision,v_chase,v_move,position,global_step,round,step_in_round,security_row,security_col,security_move,p_alien_belief,gold_mines_map_count,gold_mine_total_ground_truth,inferred_forager_movement,Vmove_t,Vchase_t,lead_weight,follow_weight,alpha
move,move,0.322,0.028437499999999998,"(5, 7)",,,,,,,,,,,,,,,
,,,,,5.0,1.0,0.0,5.0,7.0,move,0.35,1.0,40.0,0.08125,0.028437499999999998,0.322,10.0,0.2,1.0
move,move,0.322,0.03791666666666667,"(4, 7)",,,,,,,,,,,,,,,
,,,,,6.0,1.0,1.0,4.0,7.0,move,0.35,1.0,40.0,0.10833333333333334,0.03791666666666667,0.322,10.0,0.2,1.0
move,move,0.322,0.056874999999999995,"(4, 6)",,,,,,,,,,,,,,,
,,,,,7.0,1.0,2.0,4.0,6.0,move,0.35,1.0,40.0,0.1625,0.056874999999999995,0.322,10.0,0.2,1.0
move,move,0.322,0.11374999999999999,"(4, 5)",,,,,,,,,,,,,,,
,,,,,8.0,1.0,3.0,4.0,5.0,move,0.675,1.0,40.0,0.325,0.1096875,0.6210000000000001,10.0,0.2,1.0
move,move,0.6210000000000001,0.1096875,"(4, 4)",,,,,,,,,,,,,,,
,,,,,9.0,1.0,4.0,4.0,4.0,move,0.35,1.0,40.0,0.16249999999999998,0.11374999999999999,0.322,10.0,0.2,1.0
move,move,0.322,0.15166666666666667,"(3, 4)",,,,,,,,,,,,,,,
,,,,,15.0,3.0,0.0,3.0,4.0,move,0.48,4.0,40.0,0.43333333333333335,0.1664,0.4416,10.0,0.2,1.0
move,move,0.4416,0.1872,"(2, 4)",,,,,,,,,,,,,,,
,,,,,16.0,3.0,1.0,2.0,4.0,move,0.35,4.0,40.0,0.39,0.170625,0.322,10.0,0.2,1.0
move,move,0.322,0.15166666666666667,"(2, 5)",,,,,,,,,,,,,,,
,,,,,17.0,3.0,2.0,2.0,5.0,move,0.48,4.0,40.0,0.43333333333333335,0.1664,0.4416,10.0,0.2,1.0
move,move,0.4416,0.1872,"(2, 6)",,,,,,,,,,,,,,,
,,,,,18.0,3.0,3.0,2.0,6.0,move,0.35,4.0,40.0,0.39,0.170625,0.322,10.0,0.2,1.0
move,move,0.322,0.12133333333333333,"(2, 5)",,,,,,,,,,,,,,,
,,,,,19.0,3.0,4.0,2.0,5.0,move,0.48,4.0,40.0,0.3466666666666667,0.13312,0.4416,10.0,0.2,1.0
move,move,0.4416,0.1872,"(2, 6)",,,,,,,,,,,,,,,
,,,,,25.0,5.0,0.0,2.0,6.0,move,0.35,4.0,40.0,0.39,0.170625,0.322,10.0,0.2,1.0
move,move,0.322,0.12133333333333333,"(2, 7)",,,,,,,,,,,,,,,
,,,,,26.0,5.0,1.0,2.0,7.0,move,0.35,4.0,40.0,0.3466666666666667,0.12133333333333333,0.322,10.0,0.2,1.0
move,move,0.322,0.07772916666666667,"(2, 8)",,,,,,,,,,,,,,,
,,,,,27.0,5.0,2.0,2.0,8.0,move,0.35,4.0,40.0,0.22208333333333335,0.07772916666666667,0.322,10.0,0.2,1.0
move,move,0.322,0.05839166666666666,"(2, 9)",,,,,,,,,,,,,,,
,,,,,28.0,5.0,3.0,2.0,9.0,move,0.35,4.0,40.0,0.16683333333333333,0.05839166666666666,0.322,10.0,0.2,1.0
move,move,0.322,0.04701666666666667,"(1, 9)",,,,,,,,,,,,,,,
,,,,,29.0,5.0,4.0,1.0,9.0,move,0.35,4.0,40.0,0.13433333333333336,0.04701666666666667,0.322,10.0,0.2,1.0
move,move,0.322,0.07583333333333334,"(2, 9)",,,,,,,,,,,,,,,
,,,,,35.0,7.0,0.0,2.0,9.0,move,0.35,5.0,40.0,0.2166666666666667,0.07583333333333334,0.322,10.0,0.2,1.0
move,move,0.322,0.09251666666666665,"(3, 9)",,,,,,,,,,,,,,,
,,,,,36.0,7.0,1.0,3.0,9.0,move,0.35,5.0,40.0,0.2643333333333333,0.09251666666666665,0.322,10.0,0.2,1.0
move,move,0.322,0.11299166666666664,"(4, 9)",,,,,,,,,,,,,,,
,,,,,37.0,7.0,2.0,4.0,9.0,move,0.35,5.0,40.0,0.3228333333333333,0.11299166666666664,0.322,10.0,0.2,1.0
move,move,0.322,0.14370416666666666,"(5, 9)",,,,,,,,,,,,,,,
