action,decision,v_chase,v_move,position,global_step,round,step_in_round,security_row,security_col,security_move,p_alien_belief,gold_mines_map_count,gold_mine_total_ground_truth,inferred_forager_movement,Vmove_t,Vchase_t,lead_weight,follow_weight,alpha
move,move,0.322,0.0,"(6, 8)",,,,,,,,,,,,,,,
,,,,,5.0,1.0,0.0,6.0,8.0,move,0.35,0.0,40.0,0.0,0.0,0.322,10.0,0.2,1.0
move,move,0.322,0.0,"(6, 9)",,,,,,,,,,,,,,,
,,,,,6.0,1.0,1.0,6.0,9.0,move,0.35,0.0,40.0,0.0,0.0,0.322,10.0,0.2,1.0
move,move,0.322,0.0,"(5, 9)",,,,,,,,,,,,,,,
,,,,,7.0,1.0,2.0,5.0,9.0,move,0.35,0.0,40.0,0.0,0.0,0.322,10.0,0.2,1.0
move,move,0.322,0.0,"(4, 9)",,,,,,,,,,,,,,,
,,,,,8.0,1.0,3.0,4.0,9.0,move,0.35,0.0,40.0,0.0,0.0,0.322,10.0,0.2,1.0
move,move,0.322,0.0,"(3, 9)",,,,,,,,,,,,,,,
,,,,,9.0,1.0,4.0,3.0,9.0,move,0.35,0.0,40.0,0.0,0.0,0.322,10.0,0.2,1.0
move,move,0.322,0.0,"(2, 9)",,,,,,,,,,,,,,,
,,,,,15.0,3.0,0.0,2.0,9.0,move,0.35,0.0,40.0,0.0,0.0,0.322,10.0,0.2,1.0
move,move,0.322,0.0,"(2, 10)",,,,,,,,,,,,,,,
,,,,,16.0,3.0,1.0,2.0,10.0,move,0.35,0.0,40.0,0.0,0.0,0.322,10.0,0.2,1.0
move,move,0.322,0.0,"(1, 10)",,,,,,,,,,,,,,,
,,,,,17.0,3.0,2.0,1.0,10.0,move,0.35,0.0,40.0,0.0,0.0,0.322,10.0,0.2,1.0
move,move,0.322,0.0,"(1, 11)",,,,,,,,,,,,,,,
,,,,,18.0,3.0,3.0,1.0,11.0,move,0.35,0.0,40.0,0.0,0.0,0.322,10.0,0.2,1.0
move,move,0.322,0.0,"(0, 11)",,,,,,,,,,,,,,,
,,,,,19.0,3.0,4.0,0.0,11.0,move,0.35,0.0,40.0,0.0,0.0,0.322,10.0,0.2,1.0
move,move,0.322,0.03791666666666667,"(0, 10)",,,,,,,,,,,,,,,
